Day,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic
1,33.0,2.6,7.5,13.9,31.8,13.8,22.0,3.1,10.5,30.7,46.5,29.1
2,26.8,13.3,13.9,43.7,15.9,4.4,21.5,14.3,49.2,44.5,17.0,28.8
3,11.0,18.9,28.9,18.3,4.2,10.5,35.0,47.8,1.6,10.1,49.5,29.2
4,35.3,0.5,44.1,43.6,6.3,31.3,29.6,15.7,45.5,6.0,31.6,37.9
5,46.2,37.3,12.6,21.1,24.3,37.2,5.0,46.3,26.2,39.2,15.2,18.5
6,36.4,43.7,39.7,13.0,8.1,9.8,13.4,49.7,19.5,47.7,48.1,39.4
7,13.8,38.6,4.2,2.9,11.2,49.2,1.8,49.9,16.8,41.9,24.4,28.9
8,18.3,27.6,25.4,9.3,27.9,22.4,35.8,19.8,49.8,28.8,31.5,33.8
9,43.8,43.4,36.5,30.7,4.4,34.1,13.4,22.7,29.4,38.0,49.2,15.3
10,3.4,23.9,26.4,42.3,9.1,8.7,27.5,32.6,16.1,45.6,22.3,23.7
11,36.9,18.8,35.9,17.7,40.3,30.5,39.1,1.2,37.1,37.0,9.5,42.2
12,46.5,40.3,49.2,26.6,13.4,39.7,12.4,4.0,33.8,8.8,29.2,2.3
13,47.2,15.9,32.9,29.3,34.8,2.6,36.5,50.0,15.3,22.8,46.5,47.2
14,34.9,11.5,26.3,2.2,47.6,42.2,3.7,10.6,21.7,4.9,1.3,15.1
15,11.5,7.5,26.6,38.8,35.6,3.0,25.3,14.6,43.8,47.9,46.7,24.2
16,37.9,37.0,3.6,13.5,23.5,38.5,47.1,38.5,10.9,32.7,19.1,7.3
17,33.3,42.6,2.3,2.2,22.6,13.0,44.8,30.4,33.6,25.7,42.3,29.1
18,11.0,47.5,27.0,48.2,8.0,10.1,30.8,35.0,41.7,34.9,24.4,46.7
19,20.9,45.8,37.2,14.4,36.8,2.7,15.2,7.5,43.9,29.3,23.5,46.2
20,44.5,31.6,42.8,21.0,35.3,38.0,12.9,44.3,24.7,15.0,40.7,39.7
21,9.4,25.1,18.3,44.8,33.8,25.9,17.7,12.6,37.8,42.3,33.1,37.2
22,11.3,46.8,42.4,0.2,28.6,14.8,38.1,37.1,42.1,24.4,44.5,24.0
23,25.5,0.9,6.6,26.3,37.9,1.7,1.3,26.9,33.8,6.0,21.9,38.0
24,1.4,47.8,5.6,28.3,13.3,22.3,33.2,4.5,30.9,35.5,39.7,45.3
25,43.0,21.7,41.3,6.1,27.5,13.5,31.7,45.5,44.1,44.9,46.8,36.4
26,34.7,28.6,35.3,6.9,23.1,14.4,39.4,5.4,49.0,13.7,44.9,39.2
27,37.3,49.0,37.5,21.8,3.5,8.7,12.3,3.6,2.6,49.0,8.8,22.5
28,18.3,1.1,40.0,26.6,42.1,24.7,4.2,34.2,11.8,49.5,31.9,1.5
29,31.6,12.3,42.3,48.7,43.8,37.2,36.9,11.8,7.4,44.1,41.1,13.8
30,21.9,,44.8,13.8,20.5,8.4,6.7,8.2,32.6,2.3,43.1,43.3
31,6.5,,6.2,,47.8,,11.8,13.6,,31.2,,18.7
